Algorithm,Block Size (bytes),Average (kB/sec),Std Dev (kB/sec)
sha1,16,162831.193,470.5979318707207
sha1,64,549598.325,1361.8859270603577
sha1,256,1415030.442,3969.0306819242314
sha1,1024,2328435.096,1974.9488538400144
sha1,8192,2887377.4430000004,2014.6379196820576
sha1,16384,2933557.3830000004,1333.765381669828
